"musicalon_name","musicalon_location","musicalon_date","musicalon_missingdate"
"音乐剧《九九艳阳天》 青春版","北京 | 保利剧院","2019.10.10-10.11",""
"法语原版音乐剧《巴黎圣母院》成都站","成都 | 四川大剧院","2019.12.13-12.15",""
"舞台剧《剑网3·曲云传》","北京 | 保利剧院","2019.10.31-11.02",""
"百老汇原版音乐剧《芝加哥》Chicago -南京站","南京 | 江苏大剧院歌剧厅","2019.12.26-12.28",""
"新绎文化出品 大型原创音乐剧《西厢》","北京 | 天桥艺术中心-大剧场","2019.11.01-11.02",""
"不眠之夜Sleep No More（10月场）","上海 | 麦金侬酒店","2019.10.02-10.31",""
"百老汇摇滚音乐剧《吉屋出租RENT》中文版-深圳站","深圳 | 南山文体中心剧院大剧院","2019.12.13-12.14",""
"Mailive音乐剧《我的遗愿清单》中文版· 广州站","广州 | 广东艺术剧院","2019.12.17-12.19",""
"托尼奖史诗巨著 英文原版音乐剧《泰坦尼克号》","广州 | 广州大剧院歌剧厅","2019.12.12-12.14",""
"舞剧《永不消逝的电波》","上海 | 九棵树未来艺术中心-大剧场","2019.11.30-12.01",""
"古巴西班牙舞蹈团舞剧《剧院魅影》","北京 | 二七剧场","2019.11.08-11.09",""
"音乐剧《阴阳师》~大江山之章~广州站","广州 | 广州大剧院歌剧厅","2019.11.15-11.17",""
"四川大剧院开幕演出季——意大利热那亚卡洛•费利切歌剧院歌剧《图兰朵》","成都 | 四川大剧院","2019.10.11-10.12",""
"外百老汇“怦然心动”恋爱音乐剧《长腿叔叔》中文驻场版","上海 | 橙剧场·可当代艺术中心","2019.10.17-11.01",""
"小柯音乐剧爱情三部曲之《因为爱情2》","北京 | 小柯剧场","2019.10.01-11.03",""
"法国原版音乐剧《卖火柴的小女孩》","北京 | 北京展览馆剧场","2019.12.01 周日 19:30",""
"Mailive音乐剧《拉赫玛尼诺夫》中文版· 广州站","广州 | 广东艺术剧院","2019.12.21-12.22",""
"韩雪 刘令飞领衔主演 音乐剧《白夜行》","艺人：韩雪","成都 | 四川大剧院","2019.10.31-11.02"
"百老汇原版音乐剧《芝加哥》Chicago一成都站","成都 | 四川大剧院","2019.11.22-11.24",""
"孟京辉戏剧作品 摇滚音乐剧《空中花园谋杀案》","艺人：孟京辉","北京 | 蜂巢剧场","2020.01.07-01.19"
"北京市剧院运营服务平台演出剧目-音乐剧《芝加哥》","北京 | 二七剧场","2019.11.28-12.01",""
"华语原创音乐剧《马不停蹄的忧伤》","黄舒骏经典改编 中文原创音乐剧","上海 | 上海大剧院-别克中剧场","2019.11.14-11.17"
"科幻巨作《献给阿尔吉侬的花束》改编音乐剧中文版","上海 | 人民大舞台","2019.12.11-12.22",""
"音乐剧《我的遗愿清单》天津站","天津 | 天津大礼堂大剧场","2019.10.12-10.13",""
"音乐剧《帅小伙的蔬果店》","上海 | 兰心大戏院","2019.11.21-12.01",""
"[高志森导演 | 黄百鸣出品] 原装明星版《搭错车》音乐剧","广州 | 广州中山纪念堂","2019.10.18-10.19",""
"音乐剧《阴阳师》~大江山之章~合肥站","合肥 | 合肥大剧院","2019.11.29-12.01",""
"舞剧《永不消逝的电波》","无锡 | 无锡大剧院","2019.11.01-11.02",""
"音乐剧《阴阳师》上海站","上海 | 东方艺术中心-歌剧厅","2019.12.13-12.15",""
"大型民族舞剧《醒·狮》","广州 | 广州友谊剧院","2019.10.09-10.10",""
"音乐剧《芝加哥》","深圳 | 南山文体中心剧院大剧院","2020.01.02-01.10",""
"只有峨眉山","乐山 | 云之上情景体验剧场","2019.09.27-10.02",""
"百老汇摇滚音乐剧《吉屋出租RENT》中文版-北京站","北京 | 中国人民大学如论讲堂","2020.01.09-01.10",""
"摇滚音乐剧《大力水手》","北京 | 天桥艺术中心-中剧场","2019.12.04-12.08",""
"法国音乐剧《放牛班的春天》中文版 暖心上演","广州 | 广东艺术剧院","2019.10.24-10.27",""
"大型沉浸式戏剧《爱丽丝冒险奇遇记》常规场","上海 | 大宁小城","2019.09.27-10.13",""
"2019青岛·大剧院艺术节闭幕演出季 法语原版音乐剧《巴黎圣母院》","青岛 | 青岛大剧院","2019.11.14-11.17",""
"《白夜行》音乐剧","艺人：韩雪","深圳 | 深圳保利剧院","2019.12.14-12.15"
"法语原版音乐剧《巴黎圣母院》","郑州 | 河南省人民会堂","2020.01.03-01.05",""
"音乐剧《我的遗愿清单》一佛山站","佛山 | 佛山大剧院","2019.12.14-12.15",""
"音乐剧《阴阳师》~大江山之章~北京站","北京 | 天桥艺术中心-大剧场","2019.12.27-12.29",""
"胡桃夹子","佛山 | 平洲文化中心影剧院","2019.09.29 周日 20:00",""
"音乐剧《我的遗愿清单》海口站","海口 | 海南国际会展中心东方环球大剧院","2019.11.30 周六 20:00",""
"李玉刚诗意歌舞剧《昭君出塞》—长沙站","艺人：李玉刚","长沙 | 长沙梅溪湖国际文化艺术中心大剧院","2019.10.31-11.01"
"百老汇经典音乐剧《音乐之声》中文纪念版","上海 | 云峰剧院","2019.10.18-10.27",""
"音乐剧《芝加哥》","上海 | 美琪大戏院","2019.12.05-12.15",""
"4FUN脱口秀－开放麦","成都 | 陌上花艺咖啡","2019.09.27-10.25",""
"托尼奖史诗音乐剧《泰坦尼克号》","北京 | 天桥艺术中心-大剧场","2019.11.12-11.24",""
"波兰羊之歌剧团 音乐戏剧《李尔之歌》","北京 | 天桥艺术中心-中剧场","2019.10.19-10.20",""
"999元金秋音乐剧福袋","北京 | 世纪剧院","2019.10.25-11.28",""
"谭维维、郑棋元、金志文、金池主演·明星版音乐剧 《阿尔兹记忆的爱情》-常州站","艺人：谭维维、郑棋元、金池、金志文","常州 | 常州大剧院","2019.11.12-11.13"
"【二轮新场次开票时间2019/8/9 11：00】伦敦西区原版音乐剧《玛蒂尔达》","上海 | 上汽上海文化广场","2019.12.06-12.19",""
"百老汇经典音乐剧《音乐之声》中文纪念版","北京 | 海淀剧院","2019.11.02-11.24",""
"南京市文化消费政府补贴剧目20周年纪念版*法语音乐剧里程碑《巴黎圣母院》","南京 | 南京保利大剧院大剧场","2019.11.21-11.24",""
"法国原版音乐剧《卖火柴的小女孩》","重庆 | 重庆国泰艺术中心剧院","2019.12.03-12.05",""
