name,province,date,type
绛州鼓乐音乐剧《老鼠娶亲》,广东省,2019.09.18-12.21,本土原创
法国音乐剧《放牛班的春天》中文版,北京市,2019.09.27-09.29,引进原版
世界经典原版音乐剧《猫》CATS ,海南省,2019.09.27-10.03,中文版制作
先锋音乐剧《新·石头记》,四川省,2019.09.28-周六,引进原版
小柯音乐剧爱情三部曲之《因为爱情2》,北京市,2019.10.01-11.03,本土原创
法语音乐剧《摇滚红与黑》,上海市,2019.10.03-06,引进原版
音乐剧《拉赫玛尼诺夫》,山东省,2019.10.03-10.04,中文版制作
音乐剧《故宫里的大怪兽之吻兽使命》,黑龙江省,2019.10.04-周五,本土原创
TDSM街舞音乐剧场《我係歌手》,广东省,2019.10.05-10.06,本土原创
音乐剧《贝隆夫人》,河北省,2019.10.05-10.06,引进原版
2019法语音乐剧《摇滚红与黑》,上海市,2019.10.05-10.20,引进原版
音乐剧《我们还能陪妈妈多久》,山西省,2019.10.05-周六-19:30,本土原创
音乐剧《九九艳阳天》,江苏省,2019.10.05-周六-19:30,本土原创
音乐剧《九九艳阳天》 青春版,北京市,2019.10.10-10.11,本土原创
原版经典音乐剧《猫》CATS,广东省,2019.10.11-10.20,中文版制作
音乐剧《我的遗愿清单》天津站,天津市,2019.10.12-10.13,中文版制作
莫斯科轻歌剧院·音乐剧《安娜·卡列尼娜》,陕西省,2019.10.13-14:30,引进原版
世界经典音乐剧《妈妈咪呀！》中文版,江苏省,2019.10.15-10.20,中文版制作
外百老汇“怦然心动”恋爱音乐剧《长腿叔叔》中文驻场版,上海市,2019.10.17-11.01,中文版制作
音乐剧《拉赫玛尼诺夫》,陕西省,2019.10.18-10.19,中文版制作
音乐剧《我的遗愿清单》,重庆市,2019.10.18-10.19,中文版制作
原装明星版《搭错车》音乐剧,广东省,2019.10.18-10.19,本土原创
百老汇经典音乐剧《音乐之声》中文纪念版,上海市,2019.10.18-10.27,中文版制作
家庭音乐剧《故宫里的大怪兽之吻兽使命》,福建省,2019.10.18-周五-20:00,本土原创
家庭音乐剧《故宫里的大怪兽之吻兽使命》,江西省,2019.10.20-周日-19:45,本土原创
音乐剧史诗巨作《贝隆夫人》Evita,江苏省,2019.10.23-10.27,引进原版
大型原创体验式实景音乐剧《丝路恋歌》,四川省,2019.10.24-10.26,中文版制作
法国音乐剧《放牛班的春天》中文版 暖心上演,广东省,2019.10.24-10.27,中文版制作
音乐剧《摇滚年代》中文版,上海市,2019.10.24-10.27,中文版制作
音乐剧《拉赫玛尼诺夫》中文版,浙江省,2019.10.25-10.26,中文版制作
音乐剧《我的遗愿清单》,四川省,2019.10.25-10.26,中文版制作
法语音乐剧《摇滚红与黑》,北京市,2019.10.25-11.03,引进原版
音乐剧《淮海儿女》,江苏省,2019.10.25-周五-19:30,本土原创
音乐剧《拉赫玛尼诺夫》中文版,湖北省,2019.10.29-10.30,中文版制作
